01/04/2025 13:45:58 - 0101:	 - train_loss: 0.306886:	 - test_loss: 0.247972:	 mIoU 0.7729
01/04/2025 13:46:18 - 0102:	 - train_loss: 0.317543:	 - test_loss: 0.287730:	 mIoU 0.7396
01/04/2025 13:46:37 - 0103:	 - train_loss: 0.292881:	 - test_loss: 0.242699:	 mIoU 0.7742
01/04/2025 13:46:57 - 0104:	 - train_loss: 0.315123:	 - test_loss: 0.237841:	 mIoU 0.7804
01/04/2025 13:47:16 - 0105:	 - train_loss: 0.308192:	 - test_loss: 0.235467:	 mIoU 0.7843
01/04/2025 13:47:35 - 0106:	 - train_loss: 0.308239:	 - test_loss: 0.235661:	 mIoU 0.7775
01/04/2025 13:47:55 - 0107:	 - train_loss: 0.319996:	 - test_loss: 0.244668:	 mIoU 0.7797
01/04/2025 13:48:14 - 0108:	 - train_loss: 0.327676:	 - test_loss: 0.231964:	 mIoU 0.7880
01/04/2025 13:48:34 - 0109:	 - train_loss: 0.314071:	 - test_loss: 0.241384:	 mIoU 0.7795
01/04/2025 13:48:53 - 0110:	 - train_loss: 0.322028:	 - test_loss: 0.241138:	 mIoU 0.7783
01/04/2025 13:49:12 - 0111:	 - train_loss: 0.317748:	 - test_loss: 0.230136:	 mIoU 0.7939
01/04/2025 13:49:32 - 0112:	 - train_loss: 0.313236:	 - test_loss: 0.264018:	 mIoU 0.7684
01/04/2025 13:49:51 - 0113:	 - train_loss: 0.312480:	 - test_loss: 0.237247:	 mIoU 0.7802
01/04/2025 13:50:11 - 0114:	 - train_loss: 0.321451:	 - test_loss: 0.233290:	 mIoU 0.7895
01/04/2025 13:50:30 - 0115:	 - train_loss: 0.309088:	 - test_loss: 0.258459:	 mIoU 0.7670
01/04/2025 13:50:49 - 0116:	 - train_loss: 0.295547:	 - test_loss: 0.226104:	 mIoU 0.7937
01/04/2025 13:51:08 - 0117:	 - train_loss: 0.294525:	 - test_loss: 0.281484:	 mIoU 0.7554
01/04/2025 13:51:28 - 0118:	 - train_loss: 0.291861:	 - test_loss: 0.255377:	 mIoU 0.7700
01/04/2025 13:51:47 - 0119:	 - train_loss: 0.316860:	 - test_loss: 0.254849:	 mIoU 0.7734
01/04/2025 13:52:07 - 0120:	 - train_loss: 0.295022:	 - test_loss: 0.247339:	 mIoU 0.7743
01/04/2025 13:52:26 - 0121:	 - train_loss: 0.297450:	 - test_loss: 0.241768:	 mIoU 0.7785
01/04/2025 13:52:46 - 0122:	 - train_loss: 0.299178:	 - test_loss: 0.244331:	 mIoU 0.7715
01/04/2025 13:53:05 - 0123:	 - train_loss: 0.327105:	 - test_loss: 0.242792:	 mIoU 0.7716
01/04/2025 13:53:24 - 0124:	 - train_loss: 0.304549:	 - test_loss: 0.238469:	 mIoU 0.7805
01/04/2025 13:53:44 - 0125:	 - train_loss: 0.318133:	 - test_loss: 0.241580:	 mIoU 0.7777
01/04/2025 13:54:03 - 0126:	 - train_loss: 0.322574:	 - test_loss: 0.263157:	 mIoU 0.7605
01/04/2025 13:54:22 - 0127:	 - train_loss: 0.293388:	 - test_loss: 0.234673:	 mIoU 0.7880
01/04/2025 13:54:42 - 0128:	 - train_loss: 0.295704:	 - test_loss: 0.247985:	 mIoU 0.7758
01/04/2025 13:55:01 - 0129:	 - train_loss: 0.303381:	 - test_loss: 0.236485:	 mIoU 0.7837
01/04/2025 13:55:21 - 0130:	 - train_loss: 0.313448:	 - test_loss: 0.245134:	 mIoU 0.7804
01/04/2025 13:55:40 - 0131:	 - train_loss: 0.317466:	 - test_loss: 0.244789:	 mIoU 0.7709
01/04/2025 13:55:59 - 0132:	 - train_loss: 0.319471:	 - test_loss: 0.239205:	 mIoU 0.7792
01/04/2025 13:56:19 - 0133:	 - train_loss: 0.295157:	 - test_loss: 0.232636:	 mIoU 0.7833
01/04/2025 13:56:38 - 0134:	 - train_loss: 0.301004:	 - test_loss: 0.236334:	 mIoU 0.7823
01/04/2025 13:56:58 - 0135:	 - train_loss: 0.315762:	 - test_loss: 0.349809:	 mIoU 0.6754
01/04/2025 13:57:17 - 0136:	 - train_loss: 0.306205:	 - test_loss: 0.234617:	 mIoU 0.7849
01/04/2025 13:57:36 - 0137:	 - train_loss: 0.317663:	 - test_loss: 0.224004:	 mIoU 0.7946
01/04/2025 13:57:56 - 0138:	 - train_loss: 0.336054:	 - test_loss: 0.241132:	 mIoU 0.7785
01/04/2025 13:58:15 - 0139:	 - train_loss: 0.305080:	 - test_loss: 0.240682:	 mIoU 0.7867
01/04/2025 13:58:35 - 0140:	 - train_loss: 0.299978:	 - test_loss: 0.221836:	 mIoU 0.7974
01/04/2025 13:58:54 - 0141:	 - train_loss: 0.296475:	 - test_loss: 0.246633:	 mIoU 0.7739
01/04/2025 13:59:13 - 0142:	 - train_loss: 0.324097:	 - test_loss: 0.240064:	 mIoU 0.7805
01/04/2025 13:59:33 - 0143:	 - train_loss: 0.301025:	 - test_loss: 0.229079:	 mIoU 0.7890
01/04/2025 13:59:52 - 0144:	 - train_loss: 0.296260:	 - test_loss: 0.240428:	 mIoU 0.7714
01/04/2025 14:00:11 - 0145:	 - train_loss: 0.306635:	 - test_loss: 0.237030:	 mIoU 0.7778
01/04/2025 14:00:31 - 0146:	 - train_loss: 0.295815:	 - test_loss: 0.242708:	 mIoU 0.7772
01/04/2025 14:00:50 - 0147:	 - train_loss: 0.306310:	 - test_loss: 0.221490:	 mIoU 0.7984
01/04/2025 14:01:09 - 0148:	 - train_loss: 0.297573:	 - test_loss: 0.262128:	 mIoU 0.7789
01/04/2025 14:01:29 - 0149:	 - train_loss: 0.333851:	 - test_loss: 0.222237:	 mIoU 0.7988
01/04/2025 14:01:48 - 0150:	 - train_loss: 0.298024:	 - test_loss: 0.256688:	 mIoU 0.7681
01/04/2025 14:02:07 - 0151:	 - train_loss: 0.303269:	 - test_loss: 0.226824:	 mIoU 0.7899
